From,To,n_played,Region
Flawless (Sung Yeon-jun (성연준)),Gerrard (Park Oi-sik (박외식)),4,LCK/South Korea
Flawless (Sung Yeon-jun (성연준)),Nuclear (Shin Jeong-hyeon (신정현)),77,LCK/South Korea
Flawless (Sung Yeon-jun (성연준)),SaSin (Oh Seung-ju (오승주)),61,LCK/South Korea
Flawless (Sung Yeon-jun (성연준)),Secret (Park Ki-sun (박기선)),110,LCK/South Korea
Flawless (Sung Yeon-jun (성연준)),Soul (Seo Hyeon-seok) (Seo Hyeon-seok (서현석)),57,LCK/South Korea
Bdd (Gwak Bo-seong (곽보성)),Bubbling (Park Jun-hyeong (박준형)),22,LCK/South Korea
Bdd (Gwak Bo-seong (곽보성)),Kramer (Ha Jong-hun (하종훈)),50,LCK/South Korea
Bdd (Gwak Bo-seong (곽보성)),MadLife (Hong Min-gi (홍민기)),52,LCK/South Korea
Bdd (Gwak Bo-seong (곽보성)),Untara (Park Ui-jin (박의진)),43,LCK/South Korea
Bubbling (Park Jun-hyeong (박준형)),Kramer (Ha Jong-hun (하종훈)),47,LCK/South Korea
Bubbling (Park Jun-hyeong (박준형)),MadLife (Hong Min-gi (홍민기)),47,LCK/South Korea
Bubbling (Park Jun-hyeong (박준형)),Sky (Kim Ha-neul) (Kim Ha-neul (김하늘)),25,LCK/South Korea
Bubbling (Park Jun-hyeong (박준형)),Untara (Park Ui-jin (박의진)),47,LCK/South Korea
Kramer (Ha Jong-hun (하종훈)),MadLife (Hong Min-gi (홍민기)),95,LCK/South Korea
Kramer (Ha Jong-hun (하종훈)),Sky (Kim Ha-neul) (Kim Ha-neul (김하늘)),45,LCK/South Korea
Kramer (Ha Jong-hun (하종훈)),Untara (Park Ui-jin (박의진)),72,LCK/South Korea
MadLife (Hong Min-gi (홍민기)),Sky (Kim Ha-neul) (Kim Ha-neul (김하늘)),45,LCK/South Korea
MadLife (Hong Min-gi (홍민기)),Untara (Park Ui-jin (박의진)),74,LCK/South Korea
Sky (Kim Ha-neul) (Kim Ha-neul (김하늘)),Untara (Park Ui-jin (박의진)),31,LCK/South Korea
Ink (Choi Sun-ho) (Choi Sun-ho (최선호)),SoHwan (Kim Jun-yeong (김준영)),2,LCK/South Korea
Kuzan (Lee Seong-hyeok (이성혁)),SoHwan (Kim Jun-yeong (김준영)),38,LCK/South Korea
Pilot (Na Woo-hyung) (Na Woo-hyung (나우형)),SoHwan (Kim Jun-yeong (김준영)),2,LCK/South Korea
SoHwan (Kim Jun-yeong (김준영)),Winged (Park Tae-jin (박태진)),2,LCK/South Korea
Crush (Kim Jun-seo (김준서)),Edge (Lee Ho-sung (이호성)),47,LCK/South Korea
Crush (Kim Jun-seo (김준서)),GuGer (Kim Do-yeop (김도엽)),47,LCK/South Korea
Crush (Kim Jun-seo (김준서)),Hipo (Suk Hyun-jun (석현준)),40,LCK/South Korea
Crush (Kim Jun-seo (김준서)),Roach (Kim Kang-hee (김강희)),7,LCK/South Korea
Crush (Kim Jun-seo (김준서)),SSol (Seo Jin-sol (서진솔)),47,LCK/South Korea
Edge (Lee Ho-sung (이호성)),GuGer (Kim Do-yeop (김도엽)),160,LCK/South Korea
Edge (Lee Ho-sung (이호성)),Hipo (Suk Hyun-jun (석현준)),44,LCK/South Korea
Edge (Lee Ho-sung (이호성)),Roach (Kim Kang-hee (김강희)),224,LCK/South Korea
Edge (Lee Ho-sung (이호성)),SSol (Seo Jin-sol (서진솔)),268,LCK/South Korea
GuGer (Kim Do-yeop (김도엽)),Hipo (Suk Hyun-jun (석현준)),44,LCK/South Korea
GuGer (Kim Do-yeop (김도엽)),Roach (Kim Kang-hee (김강희)),116,LCK/South Korea
GuGer (Kim Do-yeop (김도엽)),SSol (Seo Jin-sol (서진솔)),160,LCK/South Korea
Hipo (Suk Hyun-jun (석현준)),SSol (Seo Jin-sol (서진솔)),44,LCK/South Korea
Roach (Kim Kang-hee (김강희)),SSol (Seo Jin-sol (서진솔)),228,LCK/South Korea
Arrow (Noh Dong-hyeon (노동현)),Fly (Song Yong-jun) (Song Yong-jun (송용준)),108,LCK/South Korea
Arrow (Noh Dong-hyeon (노동현)),IgNar (Lee Dong-geun (이동근)),3,LCK/South Korea
Fly (Song Yong-jun) (Song Yong-jun (송용준)),Hachani (Ha Seung-chan (하승찬)),105,LCK/South Korea
Fly (Song Yong-jun) (Song Yong-jun (송용준)),IgNar (Lee Dong-geun (이동근)),3,LCK/South Korea
Fly (Song Yong-jun) (Song Yong-jun (송용준)),Score (Go Dong-bin (고동빈)),108,LCK/South Korea
Fly (Song Yong-jun) (Song Yong-jun (송용준)),Ssumday (Kim Chan-ho (김찬호)),108,LCK/South Korea
IgNar (Lee Dong-geun (이동근)),Score (Go Dong-bin (고동빈)),3,LCK/South Korea
IgNar (Lee Dong-geun (이동근)),Ssumday (Kim Chan-ho (김찬호)),3,LCK/South Korea
Coco (Shin Jin-yeong (신진영)),Cpt Jack (Kang Hyung-woo (강형우)),19,LCK/South Korea
Coco (Shin Jin-yeong (신진영)),Crash (Lee Dong-woo (이동우)),3,LCK/South Korea
Coco (Shin Jin-yeong (신진영)),Expession (Koo Bon-taek (구본택)),49,LCK/South Korea
Coco (Shin Jin-yeong (신진영)),Flame (Lee Ho-jong (이호종)),8,LCK/South Korea
Coco (Shin Jin-yeong (신진영)),Pure (Kim Jin-sun (김진선)),57,LCK/South Korea
Coco (Shin Jin-yeong (신진영)),Chaser (Lee Sang-hyun (이상현)),54,LCK/South Korea
Coco (Shin Jin-yeong (신진영)),ZetNjin (Lee Jin-yong (이진용)),30,LCK/South Korea
Cpt Jack (Kang Hyung-woo (강형우)),Crash (Lee Dong-woo (이동우)),11,LCK/South Korea
Cpt Jack (Kang Hyung-woo (강형우)),Expession (Koo Bon-taek (구본택)),16,LCK/South Korea
Cpt Jack (Kang Hyung-woo (강형우)),Frozen (Kim Tae-il) (Kim Tae-il (김태일)),9,LCK/South Korea
Cpt Jack (Kang Hyung-woo (강형우)),Pure (Kim Jin-sun (김진선)),25,LCK/South Korea
Cpt Jack (Kang Hyung-woo (강형우)),Zzus (Jang Joon-soo (장준수)),3,LCK/South Korea
Crash (Lee Dong-woo (이동우)),Expession (Koo Bon-taek (구본택)),66,LCK/South Korea
Crash (Lee Dong-woo (이동우)),Flame (Lee Ho-jong (이호종)),8,LCK/South Korea
Crash (Lee Dong-woo (이동우)),Frozen (Kim Tae-il) (Kim Tae-il (김태일)),26,LCK/South Korea
Crash (Lee Dong-woo (이동우)),Pure (Kim Jin-sun (김진선)),26,LCK/South Korea
Crash (Lee Dong-woo (이동우)),Zzus (Jang Joon-soo (장준수)),3,LCK/South Korea
Expession (Koo Bon-taek (구본택)),Pure (Kim Jin-sun (김진선)),67,LCK/South Korea
Expession (Koo Bon-taek (구본택)),Chaser (Lee Sang-hyun (이상현)),46,LCK/South Korea
Expession (Koo Bon-taek (구본택)),ZetNjin (Lee Jin-yong (이진용)),43,LCK/South Korea
Flame (Lee Ho-jong (이호종)),Frozen (Kim Tae-il) (Kim Tae-il (김태일)),9,LCK/South Korea
Flame (Lee Ho-jong (이호종)),Pure (Kim Jin-sun (김진선)),13,LCK/South Korea
Flame (Lee Ho-jong (이호종)),Chaser (Lee Sang-hyun (이상현)),9,LCK/South Korea
Flame (Lee Ho-jong (이호종)),ZetNjin (Lee Jin-yong (이진용)),5,LCK/South Korea
Flame (Lee Ho-jong (이호종)),Zzus (Jang Joon-soo (장준수)),4,LCK/South Korea
Frozen (Kim Tae-il) (Kim Tae-il (김태일)),Pure (Kim Jin-sun (김진선)),23,LCK/South Korea
Frozen (Kim Tae-il) (Kim Tae-il (김태일)),Chaser (Lee Sang-hyun (이상현)),1,LCK/South Korea
Frozen (Kim Tae-il) (Kim Tae-il (김태일)),ZetNjin (Lee Jin-yong (이진용)),18,LCK/South Korea
Frozen (Kim Tae-il) (Kim Tae-il (김태일)),Zzus (Jang Joon-soo (장준수)),5,LCK/South Korea
Pure (Kim Jin-sun (김진선)),Chaser (Lee Sang-hyun (이상현)),54,LCK/South Korea
Pure (Kim Jin-sun (김진선)),ZetNjin (Lee Jin-yong (이진용)),47,LCK/South Korea
Chaser (Lee Sang-hyun (이상현)),ZetNjin (Lee Jin-yong (이진용)),30,LCK/South Korea
Chaser (Lee Sang-hyun (이상현)),Zzus (Jang Joon-soo (장준수)),1,LCK/South Korea
ZetNjin (Lee Jin-yong (이진용)),Zzus (Jang Joon-soo (장준수)),1,LCK/South Korea
GorillA (Kang Beom-hyun (강범현)),Peanut (Han Wang-ho (한왕호)),165,LCK/South Korea
Peanut (Han Wang-ho (한왕호)),PraY (Kim Jong-in (김종인)),165,LCK/South Korea
Peanut (Han Wang-ho (한왕호)),Smeb (Song Kyung-ho (송경호)),90,LCK/South Korea
Peanut (Han Wang-ho (한왕호)),kurO (Lee Seo-haeng (이서행)),78,LCK/South Korea
Ambition (Kang Chan-yong (강찬용)),CoreJJ (Jo Yong-in (조용인)),152,LCK/South Korea
Ambition (Kang Chan-yong (강찬용)),Crown (Lee Min-ho (이민호)),190,LCK/South Korea
Ambition (Kang Chan-yong (강찬용)),CuVee (Lee Seong-jin (이성진)),212,LCK/South Korea
Ambition (Kang Chan-yong (강찬용)),Wraith (Kwon Ji-min (권지민)),92,LCK/South Korea
Ambition (Kang Chan-yong (강찬용)),LuNar (Lee Seung-ju) (Lee Seung-ju (이승주)),22,LCK/South Korea
CoreJJ (Jo Yong-in (조용인)),Crown (Lee Min-ho (이민호)),191,LCK/South Korea
CoreJJ (Jo Yong-in (조용인)),CuVee (Lee Seong-jin (이성진)),234,LCK/South Korea
CoreJJ (Jo Yong-in (조용인)),Wraith (Kwon Ji-min (권지민)),28,LCK/South Korea
Crown (Lee Min-ho (이민호)),LuNar (Lee Seung-ju) (Lee Seung-ju (이승주)),28,LCK/South Korea
CuVee (Lee Seong-jin (이성진)),LuNar (Lee Seung-ju) (Lee Seung-ju (이승주)),27,LCK/South Korea
Wraith (Kwon Ji-min (권지민)),LuNar (Lee Seung-ju) (Lee Seung-ju (이승주)),26,LCK/South Korea
Flawless (Sung Yeon-jun (성연준)),SoaR (Lee Gang-pyo (이강표)),12,LCK/South Korea
Bang (Bae Jun-sik (배준식)),Blank (Kang Sun-gu (강선구)),171,LCK/South Korea
Bang (Bae Jun-sik (배준식)),Leopard (Lee Ho-seong (이호성)),98,LCK/South Korea
Bang (Bae Jun-sik (배준식)),Scout (Lee Ye-chan (이예찬)),1,LCK/South Korea
Bengi (Bae Seong-woong (배성웅)),Leopard (Lee Ho-seong (이호성)),31,LCK/South Korea
Blank (Kang Sun-gu (강선구)),Faker (Lee Sang-hyeok (이상혁)),154,LCK/South Korea
Blank (Kang Sun-gu (강선구)),Leopard (Lee Ho-seong (이호성)),67,LCK/South Korea
Blank (Kang Sun-gu (강선구)),Scout (Lee Ye-chan (이예찬)),1,LCK/South Korea
Blank (Kang Sun-gu (강선구)),Wolf (Lee Jae-wan) (Lee Jae-wan (이재완)),117,LCK/South Korea
Faker (Lee Sang-hyeok (이상혁)),Leopard (Lee Ho-seong (이호성)),97,LCK/South Korea
Leopard (Lee Ho-seong (이호성)),Scout (Lee Ye-chan (이예찬)),1,LCK/South Korea
Leopard (Lee Ho-seong (이호성)),Wolf (Lee Jae-wan) (Lee Jae-wan (이재완)),98,LCK/South Korea
Scout (Lee Ye-chan (이예찬)),Wolf (Lee Jae-wan) (Lee Jae-wan (이재완)),1,LCK/South Korea
Bless (Choi Hyeon-woong) (Choi Hyeon-woong (최현웅)),Crazy (Kim Jae-hee) (Kim Jae-hee (김재희)),151,LCK/South Korea
Bless (Choi Hyeon-woong) (Choi Hyeon-woong (최현웅)),LokeN (Lee Dong-wook (이동욱)),59,LCK/South Korea
Bless (Choi Hyeon-woong) (Choi Hyeon-woong (최현웅)),Key (Kim Han-gi (김한기)),37,LCK/South Korea
Bless (Choi Hyeon-woong) (Choi Hyeon-woong (최현웅)),Tempt (Kang Myung-gu (강명구)),155,LCK/South Korea
Crazy (Kim Jae-hee) (Kim Jae-hee (김재희)),Tempt (Kang Myung-gu (강명구)),273,LCK/South Korea
LokeN (Lee Dong-wook (이동욱)),Key (Kim Han-gi (김한기)),55,LCK/South Korea
LokeN (Lee Dong-wook (이동욱)),Tempt (Kang Myung-gu (강명구)),89,LCK/South Korea
Key (Kim Han-gi (김한기)),Tempt (Kang Myung-gu (강명구)),104,LCK/South Korea
ADD (Kang Geon-mo (강건모)),Beyond (Kim Kyu-seok) (Kim Kyu-seok (김규석)),239,LCK/South Korea
ADD (Kang Geon-mo (강건모)),Ian (An Jun-hyeong (안준형)),239,LCK/South Korea
ADD (Kang Geon-mo (강건모)),MaHa (Oh Hyun-sik (오현식)),192,LCK/South Korea
ADD (Kang Geon-mo (강건모)),Max (Jeong Jong-bin) (Jeong Jong-bin (정종빈)),239,LCK/South Korea
Beyond (Kim Kyu-seok) (Kim Kyu-seok (김규석)),Ian (An Jun-hyeong (안준형)),239,LCK/South Korea
Beyond (Kim Kyu-seok) (Kim Kyu-seok (김규석)),MaHa (Oh Hyun-sik (오현식)),199,LCK/South Korea
Beyond (Kim Kyu-seok) (Kim Kyu-seok (김규석)),Max (Jeong Jong-bin) (Jeong Jong-bin (정종빈)),239,LCK/South Korea
Ian (An Jun-hyeong (안준형)),MaHa (Oh Hyun-sik (오현식)),221,LCK/South Korea
Ian (An Jun-hyeong (안준형)),Max (Jeong Jong-bin) (Jeong Jong-bin (정종빈)),239,LCK/South Korea
MaHa (Oh Hyun-sik (오현식)),Max (Jeong Jong-bin) (Jeong Jong-bin (정종빈)),192,LCK/South Korea
Lindarang (Heo Man-heung (허만흥)),Mickey (Son Young-min) (Son Young-min (손영민)),53,LCK/South Korea
Lindarang (Heo Man-heung (허만흥)),Sangyoon (Gwon Sang-yun (권상윤)),155,LCK/South Korea
Lindarang (Heo Man-heung (허만흥)),SeongHwan (Yoon Seong-hwan (윤성환)),130,LCK/South Korea
Lindarang (Heo Man-heung (허만흥)),SnowFlower (No Hoi-jong (노회종)),12,LCK/South Korea
Lindarang (Heo Man-heung (허만흥)),lira (Nam Tae-yoo (남태유)),4,LCK/South Korea
Mickey (Son Young-min) (Son Young-min (손영민)),SeongHwan (Yoon Seong-hwan (윤성환)),48,LCK/South Korea
Sangyoon (Gwon Sang-yun (권상윤)),SeongHwan (Yoon Seong-hwan (윤성환)),151,LCK/South Korea
SeongHwan (Yoon Seong-hwan (윤성환)),SnowFlower (No Hoi-jong (노회종)),8,LCK/South Korea
Bdd (Gwak Bo-seong (곽보성)),Ghost (Jang Yong-jun) (Jang Yong-jun (장용준)),2,LCK/South Korea
Bdd (Gwak Bo-seong (곽보성)),Haru (Kang Min-seung (강민승)),30,LCK/South Korea
Bdd (Gwak Bo-seong (곽보성)),Shy (Park Sang-myeon (박상면)),9,LCK/South Korea
Ghost (Jang Yong-jun) (Jang Yong-jun (장용준)),Haru (Kang Min-seung (강민승)),2,LCK/South Korea
Ghost (Jang Yong-jun) (Jang Yong-jun (장용준)),MadLife (Hong Min-gi (홍민기)),2,LCK/South Korea
Ghost (Jang Yong-jun) (Jang Yong-jun (장용준)),Untara (Park Ui-jin (박의진)),2,LCK/South Korea
Haru (Kang Min-seung (강민승)),Kramer (Ha Jong-hun (하종훈)),48,LCK/South Korea
Haru (Kang Min-seung (강민승)),MadLife (Hong Min-gi (홍민기)),50,LCK/South Korea
Haru (Kang Min-seung (강민승)),Shy (Park Sang-myeon (박상면)),23,LCK/South Korea
Haru (Kang Min-seung (강민승)),Sky (Kim Ha-neul) (Kim Ha-neul (김하늘)),20,LCK/South Korea
Haru (Kang Min-seung (강민승)),Untara (Park Ui-jin (박의진)),27,LCK/South Korea
Kramer (Ha Jong-hun (하종훈)),Shy (Park Sang-myeon (박상면)),23,LCK/South Korea
Shy (Park Sang-myeon (박상면)),Sky (Kim Ha-neul) (Kim Ha-neul (김하늘)),14,LCK/South Korea
Bless (Choi Hyeon-woong) (Choi Hyeon-woong (최현웅)),Firetrap (Jin Jae-seung (진재승)),4,LCK/South Korea
Bless (Choi Hyeon-woong) (Choi Hyeon-woong (최현웅)),Totoro (Eun Jong-seop (은종섭)),118,LCK/South Korea
Firetrap (Jin Jae-seung (진재승)),LokeN (Lee Dong-wook (이동욱)),5,LCK/South Korea
Firetrap (Jin Jae-seung (진재승)),Key (Kim Han-gi (김한기)),4,LCK/South Korea
Firetrap (Jin Jae-seung (진재승)),Tempt (Kang Myung-gu (강명구)),8,LCK/South Korea
Tempt (Kang Myung-gu (강명구)),Totoro (Eun Jong-seop (은종섭)),133,LCK/South Korea
Blanc (Jin Seong-min (진성민)),Ink (Choi Sun-ho) (Choi Sun-ho (최선호)),8,LCK/South Korea
Blanc (Jin Seong-min (진성민)),Pilot (Na Woo-hyung) (Na Woo-hyung (나우형)),9,LCK/South Korea
Blanc (Jin Seong-min (진성민)),TrAce (Yeo Chang-dong (여창동)),8,LCK/South Korea
Blanc (Jin Seong-min (진성민)),Winged (Park Tae-jin (박태진)),9,LCK/South Korea
Coco (Shin Jin-yeong (신진영)),Emperor (Kim Jin-hyun) (Kim Jin-hyun (김진현)),8,LCK/South Korea
Crash (Lee Dong-woo (이동우)),ZetNjin (Lee Jin-yong (이진용)),18,LCK/South Korea
Emperor (Kim Jin-hyun) (Kim Jin-hyun (김진현)),Expession (Koo Bon-taek (구본택)),8,LCK/South Korea
Emperor (Kim Jin-hyun) (Kim Jin-hyun (김진현)),Pure (Kim Jin-sun (김진선)),8,LCK/South Korea
Emperor (Kim Jin-hyun) (Kim Jin-hyun (김진현)),Chaser (Lee Sang-hyun (이상현)),8,LCK/South Korea
Zet (Hae Sung-min (해성민)),GorillA (Kang Beom-hyun (강범현)),12,LCK/South Korea
Zet (Hae Sung-min (해성민)),Peanut (Han Wang-ho (한왕호)),12,LCK/South Korea
Zet (Hae Sung-min (해성민)),PraY (Kim Jong-in (김종인)),12,LCK/South Korea
Zet (Hae Sung-min (해성민)),Smeb (Song Kyung-ho (송경호)),12,LCK/South Korea
Ambition (Kang Chan-yong (강찬용)),Ruler (Park Jae-hyuk (박재혁)),166,LCK/South Korea
CoreJJ (Jo Yong-in (조용인)),Ruler (Park Jae-hyuk (박재혁)),205,LCK/South Korea
Crown (Lee Min-ho (이민호)),Helper (Kwon Yeong-jae) (Kwon Yeong-jae (권영재)),4,LCK/South Korea
Crown (Lee Min-ho (이민호)),Ruler (Park Jae-hyuk (박재혁)),204,LCK/South Korea
CuVee (Lee Seong-jin (이성진)),Ruler (Park Jae-hyuk (박재혁)),310,LCK/South Korea
Helper (Kwon Yeong-jae) (Kwon Yeong-jae (권영재)),Wraith (Kwon Ji-min (권지민)),4,LCK/South Korea
Helper (Kwon Yeong-jae) (Kwon Yeong-jae (권영재)),Ruler (Park Jae-hyuk (박재혁)),3,LCK/South Korea
Wraith (Kwon Ji-min (권지민)),Ruler (Park Jae-hyuk (박재혁)),43,LCK/South Korea
Helper (Kwon Yeong-jae) (Kwon Yeong-jae (권영재)),LuNar (Lee Seung-ju) (Lee Seung-ju (이승주)),1,LCK/South Korea
Ares (Kim Min-kwon) (Kim Min-kwon (김민권)),Crazy (Kim Jae-hee) (Kim Jae-hee (김재희)),32,LCK/South Korea
Ares (Kim Min-kwon) (Kim Min-kwon (김민권)),Firetrap (Jin Jae-seung (진재승)),4,LCK/South Korea
Ares (Kim Min-kwon) (Kim Min-kwon (김민권)),LokeN (Lee Dong-wook (이동욱)),30,LCK/South Korea
Ares (Kim Min-kwon) (Kim Min-kwon (김민권)),Key (Kim Han-gi (김한기)),18,LCK/South Korea
Ares (Kim Min-kwon) (Kim Min-kwon (김민권)),Tempt (Kang Myung-gu (강명구)),36,LCK/South Korea
Ares (Kim Min-kwon) (Kim Min-kwon (김민권)),Totoro (Eun Jong-seop (은종섭)),12,LCK/South Korea
Firetrap (Jin Jae-seung (진재승)),Totoro (Eun Jong-seop (은종섭)),4,LCK/South Korea
Edge (Lee Ho-sung (이호성)),Punch (Son Min-hyuk (손민혁)),135,LCK/South Korea
GuGer (Kim Do-yeop (김도엽)),Punch (Son Min-hyuk (손민혁)),113,LCK/South Korea
Punch (Son Min-hyuk (손민혁)),Roach (Kim Kang-hee (김강희)),131,LCK/South Korea
Punch (Son Min-hyuk (손민혁)),SSol (Seo Jin-sol (서진솔)),135,LCK/South Korea
Flawless (Sung Yeon-jun (성연준)),lehends (Son Si-woo (손시우)),29,LCK/South Korea
Nuclear (Shin Jeong-hyeon (신정현)),lehends (Son Si-woo (손시우)),29,LCK/South Korea
SaSin (Oh Seung-ju (오승주)),lehends (Son Si-woo (손시우)),13,LCK/South Korea
Soul (Seo Hyeon-seok) (Seo Hyeon-seok (서현석)),lehends (Son Si-woo (손시우)),19,LCK/South Korea
Kramer (Ha Jong-hun (하종훈)),MaRin (Jang Gyeong-hwan (장경환)),108,LCK/South Korea
Kramer (Ha Jong-hun (하종훈)),Spirit (Lee Da-yoon (이다윤)),142,LCK/South Korea
Kramer (Ha Jong-hun (하종훈)),Sylph (Lee Jae-ha (이재하)),30,LCK/South Korea
Kramer (Ha Jong-hun (하종훈)),TuSin (Park Jong-ik (박종익)),172,LCK/South Korea
Kramer (Ha Jong-hun (하종훈)),kurO (Lee Seo-haeng (이서행)),172,LCK/South Korea
MaRin (Jang Gyeong-hwan (장경환)),Spirit (Lee Da-yoon (이다윤)),92,LCK/South Korea
MaRin (Jang Gyeong-hwan (장경환)),Sylph (Lee Jae-ha (이재하)),16,LCK/South Korea
MaRin (Jang Gyeong-hwan (장경환)),TuSin (Park Jong-ik (박종익)),108,LCK/South Korea
MaRin (Jang Gyeong-hwan (장경환)),kurO (Lee Seo-haeng (이서행)),108,LCK/South Korea
Spirit (Lee Da-yoon (이다윤)),TuSin (Park Jong-ik (박종익)),173,LCK/South Korea
Spirit (Lee Da-yoon (이다윤)),kurO (Lee Seo-haeng (이서행)),173,LCK/South Korea
Sylph (Lee Jae-ha (이재하)),TuSin (Park Jong-ik (박종익)),41,LCK/South Korea
TuSin (Park Jong-ik (박종익)),kurO (Lee Seo-haeng (이서행)),289,LCK/South Korea
Bless (Choi Hyeon-woong) (Choi Hyeon-woong (최현웅)),Ghost (Jang Yong-jun) (Jang Yong-jun (장용준)),96,LCK/South Korea
Crazy (Kim Jae-hee) (Kim Jae-hee (김재희)),Ghost (Jang Yong-jun) (Jang Yong-jun (장용준)),183,LCK/South Korea
Firetrap (Jin Jae-seung (진재승)),Ghost (Jang Yong-jun) (Jang Yong-jun (장용준)),3,LCK/South Korea
Ghost (Jang Yong-jun) (Jang Yong-jun (장용준)),Tempt (Kang Myung-gu (강명구)),186,LCK/South Korea
Ghost (Jang Yong-jun) (Jang Yong-jun (장용준)),Totoro (Eun Jong-seop (은종섭)),99,LCK/South Korea
IkSSu (Jeon Ik-soo (전익수)),Kuzan (Lee Seong-hyeok (이성혁)),56,LCK/South Korea
IkSSu (Jeon Ik-soo (전익수)),Raise (Oh Ji-hwan (오지환)),5,LCK/South Korea
IkSSu (Jeon Ik-soo (전익수)),Teddy (Park Jin-seong (박진성)),56,LCK/South Korea
IkSSu (Jeon Ik-soo (전익수)),UmTi (Eom Seong-hyeon (엄성현)),51,LCK/South Korea
Kuzan (Lee Seong-hyeok (이성혁)),Raise (Oh Ji-hwan (오지환)),8,LCK/South Korea
Kuzan (Lee Seong-hyeok (이성혁)),SnowFlower (No Hoi-jong (노회종)),92,LCK/South Korea
Kuzan (Lee Seong-hyeok (이성혁)),Teddy (Park Jin-seong (박진성)),92,LCK/South Korea
Kuzan (Lee Seong-hyeok (이성혁)),UmTi (Eom Seong-hyeon (엄성현)),84,LCK/South Korea
Raise (Oh Ji-hwan (오지환)),SnowFlower (No Hoi-jong (노회종)),8,LCK/South Korea
Raise (Oh Ji-hwan (오지환)),SoHwan (Kim Jun-yeong (김준영)),3,LCK/South Korea
Raise (Oh Ji-hwan (오지환)),Teddy (Park Jin-seong (박진성)),8,LCK/South Korea
SnowFlower (No Hoi-jong (노회종)),SoHwan (Kim Jun-yeong (김준영)),36,LCK/South Korea
SnowFlower (No Hoi-jong (노회종)),Teddy (Park Jin-seong (박진성)),92,LCK/South Korea
SnowFlower (No Hoi-jong (노회종)),UmTi (Eom Seong-hyeon (엄성현)),110,LCK/South Korea
SoHwan (Kim Jun-yeong (김준영)),Teddy (Park Jin-seong (박진성)),125,LCK/South Korea
SoHwan (Kim Jun-yeong (김준영)),UmTi (Eom Seong-hyeon (엄성현)),118,LCK/South Korea
Teddy (Park Jin-seong (박진성)),UmTi (Eom Seong-hyeon (엄성현)),169,LCK/South Korea
Edge (Lee Ho-sung (이호성)),Secret (Park Ki-sun (박기선)),108,LCK/South Korea
Punch (Son Min-hyuk (손민혁)),Secret (Park Ki-sun (박기선)),22,LCK/South Korea
Roach (Kim Kang-hee (김강희)),Secret (Park Ki-sun (박기선)),112,LCK/South Korea
SSol (Seo Jin-sol (서진솔)),Secret (Park Ki-sun (박기선)),112,LCK/South Korea
Deft (Kim Hyuk-kyu (김혁규)),Mata (Cho Se-hyeong (조세형)),207,LCK/South Korea
Deft (Kim Hyuk-kyu (김혁규)),Score (Go Dong-bin (고동빈)),195,LCK/South Korea
Deft (Kim Hyuk-kyu (김혁규)),Smeb (Song Kyung-ho (송경호)),206,LCK/South Korea
Mata (Cho Se-hyeong (조세형)),Score (Go Dong-bin (고동빈)),195,LCK/South Korea
Mata (Cho Se-hyeong (조세형)),Smeb (Song Kyung-ho (송경호)),206,LCK/South Korea
Score (Go Dong-bin (고동빈)),Smeb (Song Kyung-ho (송경호)),230,LCK/South Korea
Score (Go Dong-bin (고동빈)),PawN (Heo Won-seok (허원석)),140,LCK/South Korea
Smeb (Song Kyung-ho (송경호)),PawN (Heo Won-seok (허원석)),140,LCK/South Korea
Crash (Lee Dong-woo (이동우)),Fly (Song Yong-jun) (Song Yong-jun (송용준)),45,LCK/South Korea
Crash (Lee Dong-woo (이동우)),GorillA (Kang Beom-hyun (강범현)),45,LCK/South Korea
Crash (Lee Dong-woo (이동우)),PraY (Kim Jong-in (김종인)),45,LCK/South Korea
Expession (Koo Bon-taek (구본택)),Fly (Song Yong-jun) (Song Yong-jun (송용준)),45,LCK/South Korea
Expession (Koo Bon-taek (구본택)),GorillA (Kang Beom-hyun (강범현)),45,LCK/South Korea
Fly (Song Yong-jun) (Song Yong-jun (송용준)),GorillA (Kang Beom-hyun (강범현)),45,LCK/South Korea
Fly (Song Yong-jun) (Song Yong-jun (송용준)),PraY (Kim Jong-in (김종인)),45,LCK/South Korea
Lindarang (Heo Man-heung (허만흥)),Key (Kim Han-gi (김한기)),143,LCK/South Korea
Mickey (Son Young-min) (Son Young-min (손영민)),Mightybear (Kim Min-su (김민수)),29,LCK/South Korea
Mickey (Son Young-min) (Son Young-min (손영민)),Shy (Park Sang-myeon (박상면)),28,LCK/South Korea
Mickey (Son Young-min) (Son Young-min (손영민)),Key (Kim Han-gi (김한기)),69,LCK/South Korea
Mightybear (Kim Min-su (김민수)),Sangyoon (Gwon Sang-yun (권상윤)),38,LCK/South Korea
Mightybear (Kim Min-su (김민수)),Shy (Park Sang-myeon (박상면)),17,LCK/South Korea
Mightybear (Kim Min-su (김민수)),Key (Kim Han-gi (김한기)),38,LCK/South Korea
Sangyoon (Gwon Sang-yun (권상윤)),Shy (Park Sang-myeon (박상면)),38,LCK/South Korea
Sangyoon (Gwon Sang-yun (권상윤)),Key (Kim Han-gi (김한기)),274,LCK/South Korea
SeongHwan (Yoon Seong-hwan (윤성환)),Shy (Park Sang-myeon (박상면)),21,LCK/South Korea
SeongHwan (Yoon Seong-hwan (윤성환)),Key (Kim Han-gi (김한기)),143,LCK/South Korea
